164	987	5
164	1453	5
164	1647	5
164	2706	6
164	3432	5
305	337	1
305	1647	1
305	2578	1
337	1647	8
337	1822	4
337	2218	3
337	3380	8
987	1453	5
987	1647	5
987	2706	5
987	3432	5
1453	1647	5
1453	2706	5
1453	3432	5
1647	2706	5
1647	3380	1
1647	3432	10
1822	2218	1
2013	2578	1
2013	3172	1
2331	2578	1
2706	3432	5
