123	195	9
123	196	13
123	325	16
123	535	18
123	770	2
123	831	17
123	1267	5
123	1327	16
123	1366	137
123	1489	4
123	1491	46
123	1670	17
123	1856	2
123	1926	2
123	2029	11
123	2126	9
123	2139	14
123	2158	7
123	2187	37
123	2563	3
123	2648	11
123	2868	28
123	2915	3
123	3076	8
123	3352	14
123	3421	12
123	3435	6
123	3783	29
123	3837	20
123	3888	8
123	4103	11
123	4170	18
123	4538	10
123	4626	15
123	4635	5
123	4797	10
123	4907	7
123	4928	32
123	5015	6
123	5038	12
123	5043	20
123	5544	11
123	5811	4
123	5813	27
123	5849	52
123	5897	10
123	5904	5
123	5945	13
123	6174	3
123	6570	21
123	6665	7
123	6747	7
123	6836	20
123	7027	23
123	7158	12
123	7287	7
123	7321	26
123	7333	12
123	7527	11
123	7568	36
123	7739	16
123	7748	8
123	7754	8
123	7965	11
123	8176	99
123	8372	7
123	8683	5
123	8883	41
123	9028	9
123	9351	7
123	9358	7
123	9378	85
123	9406	7
123	9531	8
123	9535	25
123	9899	6
123	9915	7
123	9935	9
123	10248	14
123	10338	27
123	10351	1
123	10573	1
123	10580	16
123	10650	2
123	11169	1
123	11648	13
123	11816	3
123	11950	4
123	12037	9
123	12307	9
123	12321	22
123	12387	8
123	12570	5
123	12700	13
123	13165	15
123	13267	10
123	13301	1
123	13330	13
123	13423	19
123	13425	17
123	13543	7
123	13640	25
123	13907	8
123	13969	7
123	14273	25
123	14279	17
123	14392	8
123	14541	11
123	14543	7
123	14562	25
123	14767	5
123	14856	19
123	14869	25
123	15004	10
123	15171	11
123	15467	7
123	15568	5
123	15591	11
123	15614	8
123	15727	20
123	15804	4
123	15842	12
123	15902	20
123	15986	4
123	16124	15
123	16310	11
123	16347	2
123	16423	4
123	16542	7
123	16671	8
123	16721	29
123	16766	8
123	16781	7
123	16783	9
123	16800	4
123	16821	11
123	16940	7
123	16970	31
123	17012	14
123	17248	4
123	17277	3
123	17368	3
123	17570	52
123	17668	27
123	17777	3
123	17795	3
123	17965	16
123	18208	18
123	18245	7
123	18501	17
123	18600	4
123	18675	3
123	18807	17
123	18977	7
123	19518	16
