224	281	4
224	358	1
224	614	1
224	734	4
224	1402	1
224	1895	1
224	2014	1
224	2015	1
224	2022	1
224	2113	1
224	2118	1
224	2304	3
224	2396	1
281	614	1
281	734	1
281	966	1
281	1227	4
281	1535	1
281	1834	1
281	1895	3
281	2014	3
281	2015	1
281	2071	2
281	2097	5
281	2111	2
281	2118	2
281	2304	1
281	2307	2
281	2396	1
318	358	2
318	506	1
318	760	1
318	867	1
318	871	1
318	1291	9
318	2022	2
318	2097	1
318	2113	4
318	2118	9
326	1291	1
326	1402	3
326	2015	1
326	2022	2
326	2118	2
326	2279	1
326	2304	1
358	614	2
358	760	2
358	871	1
358	1850	2
358	2014	1
358	2015	1
358	2022	3
358	2118	6
358	2279	4
358	2304	1
506	544	1
506	760	3
506	764	2
506	867	3
506	871	7
506	1124	1
506	1291	2
506	1850	1
506	2022	3
506	2097	1
506	2118	2
506	2304	3
544	614	2
544	760	1
544	871	1
544	1124	2
544	1402	1
544	1631	1
544	1895	7
544	2014	1
544	2015	3
544	2022	2
544	2097	2
544	2235	1
544	2279	1
544	2304	9
544	2307	1
544	2327	1
614	734	1
614	966	1
614	1284	3
614	1291	1
614	1402	1
614	1535	1
614	1834	1
614	1895	8
614	2014	6
614	2015	10
614	2022	1
614	2097	5
614	2108	2
614	2118	1
614	2235	1
614	2304	6
614	2307	6
614	2396	6
734	1227	2
734	1402	1
734	1834	1
734	2015	2
734	2022	1
734	2097	2
734	2108	1
734	2113	1
734	2279	1
734	2304	2
734	2396	1
760	867	4
760	871	6
760	1124	8
760	1605	1
760	1834	1
760	1850	3
760	1895	1
760	2015	2
760	2022	3
760	2111	1
760	2118	1
760	2279	3
760	2304	7
760	2307	1
764	867	2
764	871	4
764	873	4
764	1124	5
764	1291	1
764	1402	2
764	1605	1
764	1834	2
764	1850	3
764	1895	3
764	2015	11
764	2097	1
764	2108	1
764	2113	1
764	2118	2
764	2279	4
764	2304	8
867	1291	1
867	1402	1
867	1850	3
867	1895	1
867	2015	1
867	2304	3
871	1227	1
871	1834	1
871	1850	4
871	1895	2
871	2014	1
871	2015	6
871	2022	2
871	2097	1
871	2304	8
871	2307	2
871	2327	1
873	966	1
873	1124	2
873	1291	1
873	1402	1
873	1535	1
873	1605	1
873	1631	5
873	1850	3
873	1895	4
873	2015	3
873	2022	1
873	2097	3
873	2108	1
873	2111	1
873	2113	1
873	2118	3
873	2279	2
873	2304	4
873	2327	1
966	2022	1
1124	1291	3
1124	1535	1
1124	1605	1
1124	1834	1
1124	1850	4
1124	1895	1
1124	2015	2
1124	2022	4
1124	2108	2
1124	2118	1
1124	2279	1
1124	2304	6
1227	1402	2
1227	1834	1
1227	1850	1
1227	1895	2
1227	2097	1
1227	2111	1
1227	2396	1
1284	1535	1
1284	1895	5
1284	2014	1
1284	2015	6
1284	2022	2
1284	2097	1
1284	2113	1
1284	2307	4
1284	2396	5
1291	1850	1
1291	2022	1
1291	2097	2
1291	2113	1
1291	2118	10
1291	2279	1
1291	2396	1
1402	1535	1
1402	1834	3
1402	1850	7
1402	1895	2
1402	2014	3
1402	2015	2
1402	2097	3
1402	2113	1
1402	2118	4
1402	2235	1
1402	2279	1
1402	2304	5
1402	2307	1
1402	2327	1
1402	2396	1
1535	1631	1
1535	1850	2
1535	1895	4
1535	2014	2
1535	2015	5
1535	2235	2
1535	2304	7
1535	2307	2
1535	2396	1
1605	1834	1
1605	1850	1
1605	1895	2
1605	2015	1
1605	2108	2
1605	2113	2
1605	2396	1
1631	1895	1
1631	2015	3
1631	2097	1
1631	2111	1
1631	2113	2
1631	2279	1
1631	2304	2
1631	2327	4
1834	1850	1
1834	2097	2
1834	2113	1
1834	2118	2
1834	2279	1
1834	2304	2
1834	2396	2
1850	1895	3
1850	2014	2
1850	2015	5
1850	2022	2
1850	2097	1
1850	2113	1
1850	2118	2
1850	2279	9
1850	2304	5
1850	2307	1
1850	2327	1
1850	2396	1
1895	2014	4
1895	2015	21
1895	2022	2
1895	2097	2
1895	2111	1
1895	2113	5
1895	2118	2
1895	2235	3
1895	2279	4
1895	2304	15
1895	2307	10
1895	2396	5
2014	2015	1
2014	2022	1
2014	2071	1
2014	2097	1
2014	2118	2
2014	2235	1
2014	2279	3
2014	2304	5
2014	2307	2
2014	2396	1
2015	2071	1
2015	2097	2
2015	2113	1
2015	2118	1
2015	2235	4
2015	2279	2
2015	2304	22
2015	2307	12
2015	2396	8
2022	2097	1
2022	2113	1
2022	2118	3
2022	2279	3
2022	2304	7
2071	2235	4
2071	2396	2
2097	2235	1
2097	2279	1
2097	2304	5
2097	2307	1
2097	2396	2
2108	2396	1
2111	2304	2
2111	2327	2
2113	2279	2
2113	2304	2
2113	2396	1
2118	2279	3
2118	2304	4
2118	2327	2
2118	2396	1
2235	2304	1
2235	2307	2
2235	2396	2
2279	2304	4
2279	2307	1
2279	2327	1
2279	2396	1
2304	2307	2
2304	2327	2
2304	2396	3
2307	2396	6
2327	2396	1
